result_id,race_id,driver_id,constructor_id,number,start_position,finish_position,points,laps,status_id
1,1061,830,9,33,2,1,3,17,1
2,1061,1,131,44,1,2,2,17,1
3,1061,822,131,77,3,3,1,17,1
4,1061,844,6,16,4,4,0,17,1
5,1061,846,1,4,6,5,0,17,1
6,1061,817,1,3,7,6,0,17,1
7,1061,4,214,14,11,7,0,17,1
8,1061,20,117,5,10,8,0,17,1
9,1061,847,3,63,8,9,0,17,1
10,1061,839,214,31,13,10,0,17,1
11,1061,832,6,55,9,11,0,17,1
12,1061,842,213,10,12,12,0,17,1
13,1061,8,51,7,17,13,0,17,1
14,1061,840,117,18,15,14,0,17,1
15,1061,841,51,99,14,15,0,17,1
16,1061,852,213,22,16,16,0,17,1
17,1061,849,3,6,18,17,0,17,1
18,1061,854,210,47,19,18,0,17,1
19,1061,853,210,9,20,19,0,17,1
20,1061,815,9,11,5,0,0,16,76
21,1065,822,131,77,1,1,3,18,1
22,1065,830,9,33,3,2,2,18,1
23,1065,817,1,3,5,3,1,18,1
24,1065,846,1,4,4,4,0,18,1
25,1065,1,131,44,2,5,0,18,1
26,1065,844,6,16,8,6,0,18,1
27,1065,832,6,55,7,7,0,18,1
28,1065,841,51,99,10,8,0,18,1
29,1065,815,9,11,9,9,0,18,1
30,1065,840,117,18,12,10,0,18,1
31,1065,4,214,14,13,11,0,18,1
32,1065,20,117,5,11,12,0,18,1
33,1065,839,214,31,14,13,0,18,1
34,1065,849,3,6,16,14,0,18,1
35,1065,847,3,63,15,15,0,18,1
36,1065,852,213,22,17,16,0,18,1
37,1065,853,210,9,20,17,0,18,1
38,1065,9,51,88,19,18,0,18,1
39,1065,854,210,47,18,19,0,18,1
40,1065,842,213,10,6,0,0,0,3
41,1071,822,131,77,2,1,3,24,1
42,1071,830,9,33,1,2,2,24,1
43,1071,832,6,55,5,3,1,24,1
44,1071,815,9,11,3,4,0,24,1
45,1071,1,131,44,20,5,0,24,1
46,1071,846,1,4,7,6,0,24,1
47,1071,844,6,16,6,7,0,24,1
48,1071,842,213,10,4,8,0,24,1
49,1071,839,214,31,10,9,0,24,1
50,1071,20,117,5,11,10,0,24,1
51,1071,817,1,3,8,11,0,24,1
52,1071,4,214,14,9,12,0,24,1
53,1071,841,51,99,14,13,0,24,1
54,1071,840,117,18,15,14,0,24,1
55,1071,852,213,22,12,15,0,24,1
56,1071,849,3,6,16,16,0,24,1
57,1071,847,3,63,17,17,0,24,1
58,1071,8,51,7,13,18,0,24,1
59,1071,854,210,47,18,19,0,24,1
60,1071,853,210,9,19,20,0,24,1
61,1077,830,9,1,1,1,8,21,1
62,1077,844,6,16,2,2,7,21,1
63,1077,815,9,11,7,3,6,21,1
64,1077,832,6,55,10,4,5,21,1
65,1077,846,1,4,3,5,4,21,1
66,1077,817,1,3,6,6,3,21,1
67,1077,822,51,77,8,7,2,21,1
68,1077,825,210,20,4,8,1,21,1
69,1077,4,214,14,5,9,0,21,1
70,1077,854,210,47,12,10,0,21,1
71,1077,847,131,63,11,11,0,21,1
72,1077,852,213,22,16,12,0,21,1
73,1077,20,117,5,9,13,0,21,1
74,1077,1,131,44,13,14,0,21,1
75,1077,840,117,18,15,15,0,21,1
76,1077,839,214,31,19,16,0,21,1
77,1077,842,213,10,17,17,0,21,1
78,1077,848,3,23,20,18,0,21,1
79,1077,849,3,6,18,19,0,21,1
80,1077,855,51,24,0,0,0,0,31
81,1084,830,9,1,1,1,8,23,1
82,1084,844,6,16,2,2,7,23,1
83,1084,832,6,55,3,3,6,23,1
84,1084,847,131,63,4,4,5,23,1
85,1084,815,9,11,13,5,4,23,1
86,1084,839,214,31,5,6,3,23,1
87,1084,825,210,20,6,7,2,23,1
88,1084,1,131,44,9,8,1,23,1
89,1084,854,210,47,7,9,0,23,1
90,1084,822,51,77,12,10,0,23,1
91,1084,846,1,4,15,11,0,23,1
92,1084,817,1,3,16,12,0,23,1
93,1084,840,117,18,17,13,0,23,1
94,1084,855,51,24,18,14,0,23,1
95,1084,842,213,10,10,15,0,23,1
96,1084,848,3,23,11,16,0,23,1
97,1084,852,213,22,14,17,0,23,1
98,1084,849,3,6,19,18,0,23,1
99,1084,20,117,5,20,19,0,21,130
100,1084,4,214,14,8,0,0,0,10
101,1095,847,131,63,3,1,8,24,1
102,1095,832,6,55,5,2,7,24,1
103,1095,1,131,44,8,3,6,24,1
104,1095,830,9,1,2,4,5,24,1
105,1095,815,9,11,9,5,4,24,1
106,1095,844,6,16,10,6,3,24,1
107,1095,846,1,4,4,7,2,24,1
108,1095,825,210,20,1,8,1,24,1
109,1095,20,117,5,13,9,0,24,1
110,1095,842,213,10,12,10,0,24,1
111,1095,817,1,3,14,11,0,24,1
112,1095,854,210,47,20,12,0,24,1
113,1095,855,51,24,17,13,0,24,1
114,1095,822,51,77,18,14,0,24,1
115,1095,852,213,22,19,15,0,24,1
116,1095,840,117,18,15,16,0,24,1
117,1095,839,214,31,6,17,0,24,1
118,1095,4,214,14,7,18,0,24,1
119,1095,849,3,6,16,19,0,24,1
120,1095,848,3,23,11,0,0,12,31